Publication_code,Author,Year,Title,Comparison_identifier,Animal,Strain,Sex,Comorbidity,Comorbidity_induction,Age_weeks_min,Age_weeks_mean,Age_weeks_max,Weight_g_min,Weight_g_mean,Weight_g_max,N_control_groups,N_animals_control,N_treatment_groups,N_animals_treatment,N_treatment_to_control,Effective_n_control,Primary_anaesthetic,Secondary_anaesthetic,Surgical_level,Brain_area,RB_dose,RB_dose_units,RB_dose_mgkg,Light_intensity,Light_intensity_units,Light_intensity_Wcm2,Light_type,Light_source,Light_wavelength,Light_aperture,Light_time,Treatment,Treatment_class,Treatment_dose,Treatment_dose_units,Treatment_initial_hour,Treatment_time_class,Infarct_time,Infarct_measurement,Infarct_mean_control,Infarct_error_control,Infarct_mean_treatment,Infarct_error_treatment,Infarct_diff_from_control,Infarct_diff_from_control_error,Infarct_units,Infarct_error_units,Infarct_percent_control,Infarct_percent_treatment,Infarct_SD_control,Infarct_SD_control_percent,Infarct_SD_treatment,Scale_type,Scale_score_control,Scale_error_control,Scale_score_treatment,Scale_error_treatment,Scale_error_units,Scale_time,Multiple_timepoints,Multiple_doses
Aerden_2004,"Aerden, L. A.",2004,Diazepam reduces brain lesion size in a photothrombotic model of focal ischemia in rats,a,Rat,Lewis,Male,None,NA,10,11,12,210,298,320,1,12,3,8,3,4,Nitrous oxide,Halothane,"Scalp retracted, skull intact",NR,10,mg/kg,10,NR,NA,NA,Fibre-optic,NR,NR,1,20,Diazepam,Excitotoxicity,10,mg/kg,NR,Before stroke,24,Other histology (ex vivo),NR,NR,NR,NR,NA,NA,NR,NR,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Aerden_2004,"Aerden, L. A.",2004,Diazepam reduces brain lesion size in a photothrombotic model of focal ischemia in rats,b,Rat,Lewis,Male,None,NA,10,11,12,210,280,320,1,12,3,10,3,4,Nitrous oxide,Halothane,"Scalp retracted, skull intact",NR,10,mg/kg,10,NR,NA,NA,Fibre-optic,NR,NR,1,20,Diazepam,Excitotoxicity,10,mg/kg,1,After stroke,24,Other histology (ex vivo),NR,NR,NR,NR,NA,NA,NR,NR,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Aerden_2004,"Aerden, L. A.",2004,Diazepam reduces brain lesion size in a photothrombotic model of focal ischemia in rats,c,Rat,Lewis,Male,None,NA,10,11,12,210,276,320,1,12,3,9,3,4,Nitrous oxide,Halothane,"Scalp retracted, skull intact",NR,10,mg/kg,10,NR,NA,NA,Fibre-optic,NR,NR,1,20,Diazepam,Excitotoxicity,10,mg/kg,4,After stroke,24,Other histology (ex vivo),NR,NR,NR,NR,NA,NA,NR,NR,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,Yes
Ahmed_2016,"Ahmed, M. E.",2016,Methylene Blue promotes cortical neurogenesis and ameliorates behavioral deficit after photothrombotic stroke in rats,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,200,225,250,1,6,1,6,1,6,Sodium Pentobarbital,NA,"Scalp retracted, skull intact",Sensorimotor cortex,0.1,mg/g,100,NR,NA,NA,Cold light,NR,NR,6,15,Methylene blue (MB),Multiple mechanisms,0.5,mg/kg,24,After stroke,288,Other histology (ex vivo),4,0.3,2.6,0.2,NA,NA,Indirect rLV % hemisphere,SE,2,1.3,0.734846923,0.367423461,0.489897949,None,NA,NA,NA,NA,NA,NA,No,No
Ahn_2016,"Ahn, S. M.",2016,Emodin from Polygonum multiflorum ameliorates oxidative toxicity in HT22 cells and deficits in photothrombotic ischemia,a,Mouse,C57BL/6,Male,None,NA,NR,NR,NR,20,22.5,25,1,6,1,6,1,6,Isoflurane,NA,"Scalp retracted, skull intact",Sensorimotor cortex,1,mg,44.44444444,NR,NA,NA,Cold light,NR,NR,4,15,Emodin,Anti-apoptosis/regeneration,3,nmol,-0.25,Before stroke,24,TTC (ex vivo),9,1.8,2.5,1.1,NA,NA,mm3,SEM,1.768485587,0.491245996,4.409081537,0.866377461,2.694438717,0-4 limb scale,0.6,0.2,0.3,0.1,SEM,24,No,No
Alaverdashvili_2018,"Alaverdashvili, M.",2018,Protein-Energy Malnutrition Exacerbates Stroke-Induced Forelimb Abnormalities and Dampens Neuroinflammation,a,Rat,Sprague-Dawley,Male,None,NA,NR,11,NR,375,426,477,1,4,1,7,1,4,Isoflurane,NA,Skull thinned,Motor cortex,10,mg/kg,10,285,mW/cm2,0.285,Diode laser,Diode laser,532,4,10,Low-protein diet,Other,0.5,% in diet,-744,Before stroke,72,NR,3015,55,3549,256,NA,NA,um,SEM,NA,NA,110,NA,677.3123356,None,NA,NA,NA,NA,NA,NA,No,No
Alaverdashvili_2008,"Alaverdashvili, M.",2008,Acute but not chronic differences in skilled reaching for food following motor cortex devascularization vs. photothrombotic stroke in the rat,a,Rat,Long Evans,Female,None,NA,13,13.5,14,NR,NR,NR,3,8,0,NA,NA,NA,Sodium Pentobarbital,NA,"Scalp retracted, skull intact",Motor cortex,10,mg/kg,10,78000,lux,0.01141998,NR,NR,NR,5,20,None,NA,NA,NA,NA,NA,NA,Other histology (ex vivo),2.84,0.58,NA,NA,NA,NA,mm3,NR,0.144089295,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Alaverdashvili_2008,"Alaverdashvili, M.",2008,Acute but not chronic differences in skilled reaching for food following motor cortex devascularization vs. photothrombotic stroke in the rat,b,Rat,Long Evans,Female,None,NA,13,13.5,14,NR,NR,NR,3,7,0,NA,NA,NA,Sodium Pentobarbital,NA,"Scalp retracted, skull intact",Motor cortex,10,mg/kg,10,140000,lux,0.0204974,NR,NR,NR,5,20,None,NA,NA,NA,NA,NA,NA,Other histology (ex vivo),6.16,1.08,NA,NA,NA,NA,mm3,NR,0.31253171,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Alaverdashvili_2008,"Alaverdashvili, M.",2008,Acute but not chronic differences in skilled reaching for food following motor cortex devascularization vs. photothrombotic stroke in the rat,c,Rat,Long Evans,Female,None,NA,13,13.5,14,NR,NR,NR,3,8,0,NA,NA,NA,Sodium Pentobarbital,NA,"Scalp retracted, skull intact",Motor cortex,10,mg/kg,10,170000,lux,0.0248897,NR,NR,NR,5,20,None,NA,NA,NA,NA,NA,NA,Other histology (ex vivo),9.86,0.89,NA,NA,NA,NA,mm3,NR,0.500253678,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,No,No
Arii_2002,"Arii, K.",2002,The effect of ozagrel sodium on photochemical thrombosis in rat: therapeutic window and combined therapy with heparin sodium,a,Rat,Sprague-Dawley,Male,None,NA,NR,6,NR,152,166,185,1,9,3,9,3,3,Nitrous oxide,Halothane,"Scalp retracted, skull intact",NR,10,mg/kg,10,NR,NA,NA,Xenon lamp,Xenon,540,NR,5,Ozagrel Sodium,Thrombolytics,10,mg/kg,0,During stroke,72,Other histology (ex vivo),12.92,2.99,9.02,2.774,NA,NA,Indirect rLV % hemisphere,SD,6.46,4.51,2.99,1.495,2.774,None,NA,NA,NA,NA,NA,NA,No,Yes
