Publication_code,1_Peer_review,2_Body_temp,3_Random_allocation,4_Blinded_allocation,5_Blinded_assessment,6_Anaesthetic_not_neuroprotective,7_Model_comorbidity,8_Power_calc,9_Animal_ethics,10_Disclosure_statement,Total_score,Quality_summed
Aerden_2004,Yes,No,Yes,NR,Yes,NA,No,NR,No,No,3,2
Ahmed_2016,Yes,Yes,Yes,NR,NR,NA,No,NR,No,Yes,4,2
Ahn_2016,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Alaverdashvili_2018,Yes,NR,Yes,NR,Yes,NA,No,NR,Yes,Yes,5,2
Alaverdashvili_2008,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Arii_2002,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Avraham_2011,No,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,3,1
Avraham_2010,No,NR,NR,NR,NR,NA,No,NR,Yes,No,1,0
Avraham_2013,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,4,1
Bai_2014,Yes,NR,Yes,NR,Yes,NA,Yes,NR,Yes,Yes,6,2
Bailey_1995,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Baldwin_1994,Yes,Yes,NR,NR,Yes,NA,No,NR,No,No,3,2
Bandla_2016,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Bandla_2018,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,8,5
Baudelet_1999,Yes,NR,NR,NR,NR,NA,No,NR,No,No,1,0
Benham_1993,Yes,NR,NR,NR,Yes,NA,No,NR,No,No,2,1
Bierbower_2015,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,8,5
Bix_2013,Yes,Yes,NR,NR,Yes,NA,Yes,NR,Yes,Yes,6,2
Brown_2004,Yes,Yes,Yes,Yes,NR,NA,No,NR,Yes,No,5,3
Buccellati_1998,Yes,Yes,NR,Yes,NR,NA,No,NR,No,No,3,2
Buchkremer-Ratzmann_1997_a,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Cai_2018,Yes,NR,Yes,NR,Yes,NA,Yes,NR,Yes,No,5,2
Cecatto_2014,Yes,NR,Yes,NR,NR,NA,No,NR,Yes,Yes,4,1
Cekanaviciute_2014,Yes,Yes,NA,NR,NR,NA,No,NR,Yes,No,3,1
Chang_2015_a,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,No,3,1
Chang_2015_b,Yes,NR,Yes,NR,Yes,NA,No,NR,Yes,Yes,5,2
Chang_1999,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Chen_2007_a,Yes,Yes,Yes,Yes,NR,NA,No,NR,Yes,No,5,3
Chen_2007_b,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,8,5
Chen_2006,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Chen_2016,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Cho_2016_a,Yes,Yes,No,Yes,Yes,NA,No,NR,Yes,Yes,6,3
Cho_2016_b,Yes,NR,Yes,Yes,NR,NA,No,NR,Yes,No,4,2
Choi_2018,Yes,NR,Yes,Yes,Yes,NA,No,NR,Yes,Yes,6,3
Choi_2016_a,Yes,Yes,Yes,No,NR,NA,No,NR,Yes,Yes,5,2
Choy_2016,Yes,NR,NA,NR,Yes,NA,No,NR,Yes,Yes,4,1
Clarkson_2018,Yes,NR,Yes,Yes,NR,NA,No,Yes,Yes,Yes,6,3
Comelli_1993,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Cruz_2017,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,No,3,1
Cruz_2018,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,4,1
Cybulska-Klosowicz_2011,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
De Ryck_1990,Yes,NR,NR,NR,NR,NA,No,NR,No,No,1,0
De Ryck_1996,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
De Ryck_2000,Yes,Yes,NR,Yes,Yes,NA,No,NR,No,No,4,3
De Ryck_1989,Yes,NR,NR,NR,NR,NA,No,NR,No,No,1,0
Demougeot_2004_a,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Abo_2003,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Alamri_2018,Yes,Yes,Yes,NR,Yes,NA,No,NR,No,No,4,3
Alaverdashvili_2015,Yes,Yes,NA,NA,NR,NA,No,NR,Yes,No,3,1
Balbi_2017,Yes,Yes,NA,NR,NR,NA,No,NR,Yes,Yes,4,1
Becker_2016,Yes,NR,NA,NA,NA,NA,No,NR,Yes,No,2,0
Brima_2013,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Brown_2003,Yes,Yes,No,NR,NR,NA,Yes,NR,Yes,No,4,1
Buchkremer-Ratzmann_1996,Yes,Yes,NA,NA,NA,NA,No,NR,No,No,2,1
Buchkremer-Ratzmann_1997_b,Yes,Yes,NR,No,NR,NA,No,NR,Yes,No,3,1
Cai_1998,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,No,4,2
Chen_2008,Yes,Yes,NA,NA,NA,NA,No,NR,Yes,No,3,1
Chen_2004_a,Yes,Yes,NA,NA,NA,NA,No,NR,Yes,No,3,1
